id, flags, type, happiness, health, youngs, teens, adults, seniors, p_electric, p_heating, p_water, p_worker, p_health, p_service, p_tax, x,y,z
580,Created- Completed- Active,cargoyard (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,-441.9033,220.4997,316.5344
1499,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),66,85,1,9,8,0,0,0,0,0,0,0,0,475.2346,261.5621,419.9265
1992,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),74,80,0,7,12,2,0,0,0,0,0,0,0,479.0465,256.5204,719.9288
2112,Created- Completed- Active- ZonesUpdated,H1_3x3_Officeblock (BuildingInfo),45,0,0,0,0,0,0,0,0,3,0,0,0,258.4245,223.0208,670.8887
2146,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),66,82,5,9,11,1,0,0,0,0,0,0,0,475.202,261.7813,471.9264
2264,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),81,83,1,10,17,0,0,0,0,0,0,0,0,-60.76783,221.5313,423.5903
2462,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),6,0,0,0,3,0,0,0,0,0,0,0,0,679.0264,294.3331,752.0542
2852,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse_Corner (BuildingInfo),58,84,0,2,2,0,0,0,0,0,0,0,0,723.2571,283.2739,384.0819
3047,Created- Completed- Active,H1 4x4 Sweatshop02 (BuildingInfo),95,84,0,0,0,0,0,0,0,0,0,0,0,-525.2907,212.2921,358.3739
3059,Created- Completed- Active,L1 3x4 Detached08 (BuildingInfo),88,84,1,3,3,1,0,0,0,0,0,0,0,87.08163,221.5313,663.6831
3116,Created- Completed- Active- ZonesUpdated,Advanced Wind Turbine (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-618.4167,185.7344,274.8983
3149,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse01 (BuildingInfo),73,80,9,8,12,0,0,0,0,0,0,0,0,-108.7804,221.5469,443.5602
3475,Created- Completed- Active,H1 3x3 Sweatshop04 (BuildingInfo),95,82,0,0,0,0,0,0,0,0,0,0,0,763.0189,301.7645,764.1069
4065,Created- Completed- Active- ZonesUpdated,Advanced Wind Turbine (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-637.1597,186.9688,319.796
4128,Created- HighDensity- Completed- Active,H1_3x3_Blockhouse (BuildingInfo),2,0,4,0,3,0,0,0,0,0,8,0,0,-326.2327,221.6875,325.2695
4285,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-274.3803,221.5957,329.1853
4292,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),77,82,0,4,6,0,0,0,0,0,0,0,0,459.0214,246.4717,759.9163
4393,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),81,77,2,3,2,4,0,0,0,0,0,0,0,-68.91329,221.5,655.5853
4820,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),84,79,2,7,19,0,0,0,0,0,0,0,0,-60.86815,221.5313,583.5903
5482,Created- Completed- Active,L1 4x3 Detached12 (BuildingInfo),80,77,1,2,5,0,0,0,0,0,0,0,0,59.08163,221.5313,663.6655
5633,Created- HighDensity- Completed- Active,H1_1x1_Blockhouse (BuildingInfo),77,76,0,1,2,0,0,0,0,0,0,0,0,-72.83053,221.5313,523.5828
5696,Created- Completed- Active,L1 3x2 Shop03b (BuildingInfo),80,83,0,0,4,0,0,0,0,0,0,0,0,234.5124,221.8201,852.1313
5742,Created- Completed- Active,L1 1x2 Shop04 (BuildingInfo),79,83,0,0,1,0,0,0,0,0,0,0,0,245.5934,222.488,836.3782
5824,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),68,82,0,19,18,0,0,0,0,0,0,0,0,-138.7664,221.5313,339.4265
6648,Created- Completed- Active,H1 3x3 Sweatshop04 (BuildingInfo),92,84,0,0,0,0,0,0,0,0,0,0,0,678.9962,294.3221,800.0543
6894,Created- Completed- Active,L1 1x2 Shop04 (BuildingInfo),79,84,0,0,2,0,0,0,0,0,0,0,0,182.9663,221.5625,847.7433
7471,Created- FixedHeight- Completed- Active- ZonesUpdated,Water Tower (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-5.346771,219.5367,847.3607
8269,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),69,84,2,8,13,2,0,0,0,0,0,0,0,479.1819,261.8748,503.9289
8634,Created- Completed- Active,H1_4x3_officeblock (BuildingInfo),45,0,0,0,0,0,0,0,0,10,0,0,0,195.1418,223.2049,567.7509
9179,Created- Completed- Active,H1_3x4_Officeblock (BuildingInfo),45,0,0,0,0,0,0,0,0,5,0,0,0,243.2095,224.205,459.7809
9205,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),68,81,5,10,15,2,0,0,0,0,0,0,0,-174.2901,221.5436,384.8805
9238,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),63,82,1,11,17,1,0,0,0,0,0,0,0,523.202,261.7813,471.9565
9405,Created- HighDensity- Completed- Active,H1_2x2_CommercialBlockhouse (BuildingInfo),45,0,0,0,1,0,0,0,0,11,0,0,0,458.9963,246.4729,799.9163
9939,Created- HighDensity- Completed- Active,H1_3x3_Blockhouse (BuildingInfo),84,82,6,7,11,1,0,0,0,0,0,0,0,299.039,223.7055,731.816
9975,Created- Completed- Active,H1 4x4 Mediumfactory02 (BuildingInfo),95,77,0,0,0,0,0,0,0,0,0,0,0,-569.5399,199.4737,306.8956
10146,Created- Completed- Active,cargoyard (BuildingInfo),96,82,0,0,0,0,0,0,0,0,0,0,0,586.9963,275.1318,799.9966
10320,Created- Completed- Active- ZonesUpdated,Combustion Plant (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,715.4,280.6232,156.0769
10380,Created- HighDensity- Completed- Active,H1_2x2_CommercialBlockhouse_Corner (BuildingInfo),45,0,0,0,1,0,0,0,0,12,0,0,0,291.0013,223.4614,791.811
10798,Created- HighDensity- Completed- Abandoned,H1_2x3_Blockhouse (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,519.0314,254.5515,743.954
11091,Created- Completed- Active,H1_2x2_Officeblock (BuildingInfo),78,83,0,0,0,0,0,0,0,0,0,0,0,187.2572,224.2654,383.7458
11158,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),60,86,7,10,18,0,0,0,0,0,0,0,0,651.2521,280.5041,392.0368
11270,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse01 (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,639.0264,286.8215,752.0292
11659,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),85,81,4,8,14,0,0,0,0,0,0,0,0,-60.8857,221.5296,611.5903
11748,Created- Completed- Active- ZonesUpdated,H1_3x3_Officeblock (BuildingInfo),45,0,0,0,0,0,0,0,0,10,0,0,0,195.1895,223.8777,491.7508
11801,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),83,85,6,5,9,0,0,0,0,0,0,0,0,383.0264,231.7354,751.8686
11937,Created- HighDensity- Completed- Active,H1_1x1_Blockhouse (BuildingInfo),84,78,0,2,2,0,0,0,0,0,0,0,0,-96.93085,221.4688,683.5677
12204,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),65,78,2,9,13,0,0,0,0,0,0,0,0,479.1418,261.6877,567.929
12329,Created- HighDensity- Completed- Active- ZonesUpdated,H1_3x2_Blockhouse (BuildingInfo),63,82,2,11,11,1,0,0,0,0,0,0,0,523.2396,261.4995,411.9565
12618,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),67,86,6,7,9,0,0,0,0,0,0,0,0,475.2195,261.7029,443.9265
12692,Created- HighDensity- Completed- Active,H1_3x3_Blockhouse (BuildingInfo),67,80,4,9,12,0,0,0,0,0,0,0,0,-218.1652,221.547,381.5672
12735,Created- HighDensity- Completed- Active,H1_2x4_Blockhouse (BuildingInfo),79,81,1,4,9,0,0,0,0,0,0,0,0,-108.828,221.5313,519.5602
12785,Created- Completed- Active,H1 4x3 Bigfactory05 (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,-354.1532,221.7021,323.161
12965,Created- Completed- Active,H1_3x4_Officeblock (BuildingInfo),45,0,0,0,0,0,0,0,0,12,0,0,0,195.2446,224.8152,403.7509
12975,Created- Completed- Active,H1 3x3 Sweatshop07 (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,-497.3702,216.0851,360.4823
13023,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),83,83,2,12,14,0,0,0,0,0,0,0,0,-108.8431,221.5173,543.5602
13044,Created- HighDensity- Completed- Active- ZonesUpdated,H1_3x2_Blockhouse_Corner (BuildingInfo),86,84,0,6,6,0,0,0,0,0,0,0,0,291.0239,223.3773,755.8109
13313,Created- HighDensity- Completed- Abandoned,H1_3x2_Blockhouse (BuildingInfo),21,48,0,5,3,0,0,0,0,0,0,0,0,-297.938,221.625,375.5429
13718,Created- HighDensity- Completed- Active,H1_2x3_Blockhouse (BuildingInfo),66,87,1,6,6,0,0,0,0,0,0,0,0,539.2546,266.827,387.9666
13816,Created- Completed- Active,H1_officebuilding02EU_4x4b (BuildingInfo),45,0,0,0,0,0,0,0,0,13,0,0,0,195.1619,223.4862,535.7508
14017,Created- HighDensity- Completed- Active,H1_3x3_Blockhouse (BuildingInfo),79,82,6,6,13,0,0,0,0,0,0,0,0,-108.8155,221.5313,499.5602
14166,Created- HighDensity- Completed- Active,H1_3x3_Blockhouse (BuildingInfo),81,78,1,7,10,1,0,0,0,0,0,0,0,-108.9007,221.5156,635.5602
14193,Created- Completed- Active,H1 2x2 Sweatshop06 (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,-597.0862,193.1093,352.9521
14198,Created- Completed- Active,L1 3x4 Detached04a (BuildingInfo),89,84,2,3,4,0,0,0,0,0,0,0,0,31.08164,221.5313,663.6479
14212,Created- HighDensity- Completed- Abandoned,H1_3x2_Blockhouse_Corner (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,479.0214,251.4871,759.9289
14237,Created- HighDensity- Completed- Active,H1_2x4_Blockhouse (BuildingInfo),60,86,4,6,5,0,0,0,0,0,0,0,0,715.2471,284.9167,400.0769
14413,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),78,86,1,9,8,0,0,0,0,0,0,0,0,515.0791,259.4552,667.9514
14687,Created- Completed- Active,H1_officebuilding02EU_4x4 (BuildingInfo),60,87,0,0,0,0,0,0,0,10,0,0,0,195.1217,222.9393,599.7509
14700,Created- HighDensity- Completed- Active,H1_1x1_Blockhouse (BuildingInfo),82,77,1,2,1,1,0,0,0,0,0,0,0,-107.463,221.4678,687.1667
14938,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),62,80,2,12,18,0,0,0,0,0,0,0,0,523.222,261.6873,439.9565
14968,Created- Completed- Active,4x4_Factory_EU02 (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,763.049,304.8849,716.1069
15039,Created- Completed- Active,H1 4x4 Mediumfactory03 (BuildingInfo),95,83,0,0,0,0,0,0,0,0,0,0,0,514.9963,254.3231,799.9514
15285,Created- Completed- Active- ZonesUpdated,Landfill Site (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,779.3875,280.2326,176.117
15429,Created- Completed- Active,4x4_Factory_EU02 (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,763.1693,296.0406,524.1069
15504,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),67,85,2,7,9,1,0,0,0,0,0,0,0,519.1644,261.875,531.954
15672,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),78,84,4,5,11,1,0,0,0,0,0,0,0,479.0866,259.8771,655.9289
16632,Created- FixedHeight- Completed- Active- ZonesUpdated,Water Tower (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-5.346771,219.534,831.3607
16855,Created- Completed- Active,3x3_Factory_EU09 (BuildingInfo),97,84,0,0,0,0,0,0,0,0,0,0,0,-377.7109,221.6272,369.5187
16862,Created- Completed- Active,H1 4x4 Mediumfactory03 (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,-469.4497,218.8366,362.5908
17081,Created- Completed- Active,L1 4x3 Detached12 (BuildingInfo),88,83,0,4,6,0,0,0,0,0,0,0,0,2.656502,221.5313,663.5649
17494,Created- HighDensity- Completed- Abandoned,H1_4x3_Blockhouse (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-325.8586,221.6719,373.4344
17795,Created- Completed- ZonesUpdated- BurnedDown,H1_2x2_Officeblock (BuildingInfo),30,89,0,0,0,0,0,0,0,0,0,0,0,237.2804,222.3716,675.0031
17873,Created- HighDensity- Completed- Active,H1_1x1_Blockhouse (BuildingInfo),84,76,0,0,2,0,0,0,0,0,0,0,0,-72.92583,221.4704,675.5828
18353,Created- HighDensity- Completed- Abandoned,H1_4x4_Blockhouse (BuildingInfo),0,0,0,0,0,0,0,0,128,0,0,0,0,-108.7979,221.5313,471.5602
18634,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),83,77,1,3,4,2,0,0,0,0,0,0,0,-100.9233,221.4844,671.5652
18891,Created- Completed- Active,3x3_Factory_EU06 (BuildingInfo),95,69,0,0,0,0,0,0,0,0,0,0,0,-353.7791,221.7031,371.326
18928,Created- HighDensity- Completed- Abandoned,H1_2x3_Blockhouse_Corner (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,519.0214,253.3943,759.9539
19178,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),83,79,1,8,7,2,0,0,0,0,0,0,0,-108.9133,221.4892,655.5602
19254,Created- HighDensity- Completed- Active,H1_1x1_Blockhouse (BuildingInfo),88,82,1,2,2,0,0,0,0,0,0,0,0,-72.92081,221.4844,667.5828
19402,Created- Completed- Active,3x3_Factory_EU09 (BuildingInfo),97,81,0,0,0,0,0,0,0,0,0,0,0,-553.2112,205.2602,356.2654
19476,Created- Completed- Active,H3 4x4 Mediumfactory08 (BuildingInfo),92,77,0,0,0,0,0,0,0,0,0,0,0,763.1517,298.8838,552.107
19636,Created- Completed- Active,H1 3x3 Sweatshop04 (BuildingInfo),97,82,0,0,0,0,0,0,0,0,0,0,0,763.1191,303.0524,604.1069
19975,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),66,77,9,12,15,0,0,0,0,0,0,0,0,-142.381,221.5313,387.2902
20027,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),70,85,1,7,11,0,0,0,0,0,0,0,0,479.1619,261.8596,535.9289
20838,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),69,71,4,0,9,0,0,0,0,0,0,0,0,439.0264,242.1532,751.9037
21211,Created- FixedHeight- Completed- ZonesUpdated,957598160.Farm 1A_Data (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-141.3435,221.4063,795.2744
21265,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse01 (BuildingInfo),6,0,10,2,7,0,0,0,0,0,0,0,0,715.0539,305.3541,708.0768
21904,Created- FixedHeight- Completed- Active,Water Outlet (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-15.02568,195.492,-865.8184
22377,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),56,80,0,0,3,1,0,0,0,0,0,0,0,707.2571,282.5297,384.0719
22623,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),73,81,2,19,13,1,0,0,0,0,0,0,0,-108.7628,221.5313,415.5602
22643,Created- HighDensity- Completed- Active,H1_3x2_CommercialBlockhouse (BuildingInfo),45,0,0,0,1,0,0,0,0,11,0,0,0,310.9963,224.7395,799.8235
22687,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),79,85,0,8,6,0,0,0,0,0,0,0,0,515.064,258.5027,691.9514
22855,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),68,86,2,5,9,0,0,0,0,0,0,0,0,519.1493,261.7659,555.954
23381,Created- Completed- Active,L1 1x1 Shop (BuildingInfo),52,83,0,0,2,0,0,0,0,0,0,0,0,166.9662,221.5313,847.7332
23415,Created- Completed- Active,H1 3x3 Sweatshop07 (BuildingInfo),96,83,0,0,0,0,0,0,0,0,0,0,0,763.1342,301.3976,580.107
23553,Created- HighDensity- Completed- Abandoned,H1_1x1_Blockhouse (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,715.1793,294.3855,508.0769
23588,Created- Completed- Active,Wind Turbine (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,36.7357,212.6172,-822.2222
23647,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),76,85,0,4,4,0,0,0,0,0,0,0,0,515.0916,260.1427,647.9514
24460,Created- Completed- Active- ZonesUpdated,H1_2x2_Officeblock (BuildingInfo),45,0,0,0,0,0,0,0,0,13,0,0,0,235.0866,222.455,655.7759
