NodeID,Road1,Road2,Road3,Road4,Road5,Road6,Road7,x,y,z
272,22,19,0,0,0,0,0,0,-347.9832,221.7106,347.6953
1010,9,33,0,0,0,0,0,0,-101.3435,221.4063,731.2744
1067,21,6,23,0,0,0,0,0,219.0666,222.3228,687.7659
2437,18,22,0,0,0,0,0,0,219.1669,223.5544,527.7659
3552,14,21,0,0,0,0,0,0,443.2672,251.9965,367.9064
4155,25,24,0,0,0,0,0,0,499.1719,261.8945,519.9415
4707,13,16,0,0,0,0,0,0,739.222,288.7837,440.092
5135,24,7,0,0,0,0,0,0,274.9813,222.8224,823.8009
6092,16,33,0,0,0,0,0,0,162.9512,221.5772,871.7308
6143,23,0,0,0,0,0,0,0,-603.2563,192.0017,328.4178
6409,21,22,0,0,0,0,0,0,-260.233,221.5871,354.322
6607,10,21,0,0,0,0,0,0,155.0666,221.6315,687.7258
7893,30,40,0,0,0,0,0,0,435.0114,241.6029,775.9012
8046,11,14,19,0,0,0,0,0,-84.73271,221.5334,367.5753
8078,26,24,32,0,0,0,0,0,275.0114,223.2948,775.8009
8992,31,75,0,0,0,0,0,0,139.2672,222.4483,367.7158
9740,19,21,0,0,0,0,0,0,-172.4828,221.5469,360.9486
9811,16,3,9,0,0,0,0,0,739.2672,282.9386,368.092
11267,16,0,0,0,0,0,0,0,739.4126,280.9224,136.092
11419,33,8,19,0,0,0,0,0,-84.94019,221.4728,698.471
11913,40,18,0,0,0,0,0,0,739.0665,306.0101,688.0919
14293,8,16,0,0,0,0,0,0,-45.3435,221.5415,687.5649
14540,28,16,0,0,0,0,0,0,106.9512,221.5313,871.6956
15316,75,9,0,0,0,0,0,0,67.26726,221.5887,367.6706
15387,15,29,0,0,0,0,0,0,-101.3435,221.4063,843.2744
15804,22,23,0,0,0,0,0,0,-515.5062,213.67,335.0444
16043,14,16,0,0,0,0,0,0,739.3574,279.5917,224.0919
16058,23,18,0,0,0,0,0,0,219.1167,222.8783,607.7659
16145,9,9,0,0,0,0,0,0,651.2672,280.5114,368.0368
16773,21,13,29,0,0,0,0,0,499.2672,261.2764,367.9415
16890,18,23,0,0,0,0,0,0,739.1266,302.3023,592.0919
17234,14,3,0,0,0,0,0,0,739.3123,281.2652,296.092
18037,30,40,0,0,0,0,0,0,739.0113,301.7284,776.0919
18326,7,10,0,0,0,0,0,0,258.6587,222.1633,859.4905
19090,47,26,0,0,0,0,0,0,307.2672,232.1967,367.8211
19204,39,30,0,0,0,0,0,0,643.0113,287.5976,776.0317
20548,13,13,0,0,0,0,0,0,-84.83805,221.5313,535.5753
20831,24,23,0,0,0,0,0,0,499.1267,261.4771,591.9414
20975,23,17,0,0,0,0,0,0,499.0665,258.6959,687.9414
22185,14,13,0,0,0,0,0,0,-84.78288,221.5496,447.5753
22219,13,9,0,0,0,0,0,0,563.2672,271.3511,367.9816
23214,10,47,31,0,0,0,0,0,219.2672,225.0614,367.7659
24271,26,14,0,0,0,0,0,0,395.2672,244.0423,367.8763
24508,6,26,0,0,0,0,0,0,275.0465,223.8458,719.801
25623,32,30,0,0,0,0,0,0,371.0114,230.0151,775.8611
25741,36,39,0,0,0,0,0,0,555.0114,267.2324,775.9765
26623,22,10,0,0,0,0,0,0,219.2171,224.3287,447.7659
27010,40,36,17,0,0,0,0,0,499.0114,253.1907,775.9413
28217,21,16,0,0,0,0,0,0,18.65648,221.5365,687.6226
28376,23,13,0,0,0,0,0,0,739.1818,293.9793,504.0919
28965,33,10,0,0,0,0,0,0,218.9512,221.6232,871.7659
29162,10,21,0,0,0,0,0,0,83.06658,221.5314,687.6806
29321,9,11,0,0,0,0,0,0,-12.73273,221.5313,367.6205
29379,29,25,0,0,0,0,0,0,499.222,261.6905,439.9415
30338,13,19,0,0,0,0,0,0,-84.88821,221.5313,615.5753
32306,19,17,0,0,0,0,0,0,-427.756,221.0922,341.6711
32510,34,15,0,0,0,0,0,0,-61.3435,221.4063,867.2744
32601,9,29,0,0,0,0,0,0,-101.3435,221.4063,787.2744
