Service,sub,lvl,Income,Expense
Electricity,None,None
,0,68000
Water,None,None
,0,87968
Garbage,None,None
,0,160000
HealthCare,None,None
,0,280000
FireDepartment,None,None
,0,0
PoliceDepartment,None,None
,0,48000
Education,None,None
,0,40000
Monument,None,None
,0,0
Beautification,None,None
,0,0
Road,None,None
,0,18176
None,None,None
,337936,861744
Residential,None,None
,161512,0
Commercial,None,None
,36994,0
Industrial,None,None
,128134,0
Office,None,None
,5796,0
PublicTransport,None,None
,5500,159600
Residential,ResidentialLow,None
,11502,0
Residential,ResidentialHigh,None
,150010,0
Commercial,CommercialLow,None
,30026,0
Commercial,CommercialHigh,None
,6968,0
Tourism,None,None
,0,0
Citizen,None,None
,36994,0
PublicTransport,PublicTransportMetro,None
,0,0
PublicTransport,PublicTransportTrain,None
,0,0
PublicTransport,PublicTransportShip,None
,0,0
PublicTransport,PublicTransportPlane,None
,0,0
