id,info,flags,type,path,source,destination,tourist,trailing,wait
30,Sedan (VehicleInfo),Created- Spawned,Vehicle,110397,0,0,1,0,0
49,Sports-car (VehicleInfo),Created- Spawned,Vehicle,243035,0,0,1,0,0
63,Scooter (VehicleInfo),Created- Spawned,Vehicle,143800,0,0,1,0,0
65,Suv (VehicleInfo),Created- Spawned,Vehicle,133320,0,0,1,0,0
71,hotdog-van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Exporting,Vehicle,7487,26315,0,0,0,0
77,Lorry (VehicleInfo),Created- Spawned- TransferToTarget- Exporting,Vehicle,115388,19402,735,0,0,0
107,Police Car (VehicleInfo),Created- Spawned- TransferToSource- GoingBack,Vehicle,248769,45823,0,0,0,0
129,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,230624,0,0,1,0,0
147,Bus (VehicleInfo),Created- Spawned- TransferToTarget- Leaving,Vehicle,146441,45862,18538,0,0,0
221,Suv (VehicleInfo),Created- Spawned,Vehicle,236918,0,0,1,0,0
244,hotdog-van (VehicleInfo),Created- Spawned- TransferToTarget- Exporting,Vehicle,196828,3475,735,0,0,0
269,Hatchback (VehicleInfo),Created- Spawned,Vehicle,115160,0,0,1,0,0
287,Tractor (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,38788,8616,10146,0,15487,0
344,Sedan (VehicleInfo),Created- Spawned,Vehicle,83234,0,0,1,0,0
351,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,11528,0,0,0,0,0
357,Sports-car (VehicleInfo),Created- Spawned,Vehicle,116980,0,0,0,0,0
423,Sedan (VehicleInfo),Created- Spawned,Vehicle,140795,0,0,2,0,0
433,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,173173,45862,23507,0,0,0
576,Sedan (VehicleInfo),Created- Spawned,Vehicle,202156,0,0,0,0,0
668,Hatchback (VehicleInfo),Created- Spawned,Vehicle,61199,0,0,1,0,0
717,Sedan (VehicleInfo),Created- Spawned,Vehicle,3991,0,0,1,0,0
720,Suv (VehicleInfo),Created- Spawned,Vehicle,153277,0,0,0,0,0
747,Scooter (VehicleInfo),Created- Spawned,Vehicle,230945,0,0,0,0,0
758,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,66846,0,0,3,0,0
762,Electric Car 04 (VehicleInfo),Created- Spawned,Vehicle,255764,0,0,1,0,0
807,Sedan (VehicleInfo),Created- Spawned,Vehicle,181210,0,0,1,0,0
839,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,197650,0,0,2,0,0
857,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,153576,45862,18537,0,0,0
863,Suv (VehicleInfo),Created- Spawned,Vehicle,148611,0,0,2,15394,0
886,Sedan (VehicleInfo),Created- Spawned,Vehicle,210510,0,0,1,0,0
889,Sports-car (VehicleInfo),Created- Spawned,Vehicle,42340,0,0,1,0,0
928,Sedan (VehicleInfo),Created- Spawned,Vehicle,117678,0,0,1,0,0
937,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,154698,0,0,1,0,0
987,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,240123,45862,23497,0,0,0
1063,Scooter (VehicleInfo),Created- Spawned,Vehicle,112777,0,0,0,0,0
1066,Sports-car (VehicleInfo),Created- Spawned,Vehicle,182320,0,0,0,0,0
1070,Hatchback (VehicleInfo),Created- Spawned,Vehicle,72291,0,0,2,3391,0
1098,Forestry Truck (VehicleInfo),Created- Spawned- TransferToTarget- Importing,Vehicle,16504,24075,14968,0,8987,0
1107,Scooter (VehicleInfo),Created- Spawned,Vehicle,190581,0,0,0,0,0
1110,Sports-car (VehicleInfo),Created- Spawned,Vehicle,109072,0,0,2,0,0
1114,Suv (VehicleInfo),Created- Spawned,Vehicle,183301,0,0,1,0,0
1115,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,204283,45862,16308,0,0,0
1139,Suv (VehicleInfo),Created- Spawned,Vehicle,201754,0,0,1,0,0
1173,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,16152,45862,22124,0,0,0
1197,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,108712,0,0,3,0,0
1226,Bus (VehicleInfo),Created- Spawned- TransferToTarget- Arriving,Vehicle,0,45862,16310,0,0,0
1230,Suv (VehicleInfo),Created- Spawned,Vehicle,224166,0,0,1,0,0
1339,hotdog-van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Exporting,Vehicle,97986,19402,0,0,0,0
1342,Camper Trailer 02 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0
1369,Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Exporting,Vehicle,141721,15039,0,0,0,0
1386,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,20619,0,0,1,0,0
1388,Forestry Truck (VehicleInfo),Created- Spawned- TransferToTarget- Importing- Exporting,Vehicle,218638,30157,30157,0,3523,0
1408,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,206399,45862,23505,0,0,0
1414,Scooter (VehicleInfo),Created- Spawned,Vehicle,78388,0,0,2,0,0
1421,Hatchback (VehicleInfo),Created- Spawned,Vehicle,192722,0,0,0,0,0
1436,Suv (VehicleInfo),Created- Spawned,Vehicle,258592,0,0,1,0,0
1457,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,259518,0,0,0,0,0
1487,Sports-car (VehicleInfo),Created- Spawned,Vehicle,193139,0,0,0,0,0
1503,Suv (VehicleInfo),Created- Spawned,Vehicle,201417,0,0,0,0,0
1509,Suv (VehicleInfo),Created- Spawned,Vehicle,149506,0,0,3,14189,0
1581,Suv (VehicleInfo),Created- Spawned,Vehicle,118636,0,0,1,0,0
1685,Electric Car 02 (VehicleInfo),Created- Spawned,Vehicle,118369,0,0,1,0,0
1686,Bus (VehicleInfo),Created- Spawned- TransferToTarget,Vehicle,258163,45862,23507,0,0,0
1696,Police Car (VehicleInfo),Created- Spawned- TransferToSource- Emergency2,Vehicle,218780,45823,33831,0,0,0
1732,Suv (VehicleInfo),Created- Spawned,Vehicle,66952,0,0,2,0,0
1760,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,217590,0,0,0,0,0
1791,Sedan (VehicleInfo),Created- Spawned,Vehicle,70308,0,0,1,0,0
1797,Scooter (VehicleInfo),Created- Spawned,Vehicle,245416,0,0,1,0,0
1802,Scooter (VehicleInfo),Created- Spawned,Vehicle,201962,0,0,0,0,0
1833,Bus (VehicleInfo),Created- Spawned- TransferToTarget- Arriving,Vehicle,0,45862,23508,0,0,0
1848,Scooter (VehicleInfo),Created- Spawned,Vehicle,123491,0,0,0,0,0
1865,Van (VehicleInfo),Created- Spawned- TransferToTarget- Exporting,Vehicle,154701,45992,735,0,0,0
1890,Camper Van 01 (VehicleInfo),Created- Spawned,Vehicle,225373,0,0,2,0,0
1907,Camper Trailer 01 (VehicleInfo),Created- Spawned,Vehicle,0,0,0,0,0,0
1949,Scooter (VehicleInfo),Created- Spawned,Vehicle,194666,0,0,0,0,0
1979,Suv (VehicleInfo),Created- Spawned,Vehicle,203327,0,0,0,0,0
2002,Electric Car 01 (VehicleInfo),Created- Spawned,Vehicle,213472,0,0,1,0,0
2030,Bugspray Van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Exporting,Vehicle,123445,43523,0,0,0,0
2041,Scooter (VehicleInfo),Created- Spawned,Vehicle,149688,0,0,2,0,0
2083,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,230193,0,0,3,0,0
2090,Suv (VehicleInfo),Created- Spawned,Vehicle,167409,0,0,0,0,0
2137,Tractor (VehicleInfo),Created- Spawned- TransferToTarget- Importing- Exporting,Vehicle,80430,24075,735,0,2743,0
2144,Suv (VehicleInfo),Created- Spawned,Vehicle,60875,0,0,1,0,0
2163,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,110854,0,0,1,0,0
2168,Van (VehicleInfo),Created- Spawned- TransferToTarget- Exporting,Vehicle,154900,35192,24075,0,0,0
2192,Sports-car (VehicleInfo),Created- Spawned,Vehicle,199344,0,0,0,0,0
2204,Suv (VehicleInfo),Created- Stopped- WaitingSpace,Vehicle,192110,0,0,1,15855,0
2219,Oil Truck (VehicleInfo),Created- Spawned- TransferToTarget- Importing- Exporting,Vehicle,100046,30157,735,0,61,0
2230,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,173033,0,0,2,0,0
2232,Scooter (VehicleInfo),Created- Spawned,Vehicle,151733,0,0,1,0,0
2238,Garbage Truck (VehicleInfo),Created- Spawned- TransferToSource,Vehicle,117700,10320,42659,0,0,0
2254,Bugspray Van (VehicleInfo),Created- Spawned- TransferToTarget- Exporting,Vehicle,222645,23415,24075,0,0,0
2305,Sports-car (VehicleInfo),Created- Spawned,Vehicle,188556,0,0,1,0,0
2352,hotdog-van (VehicleInfo),Created- Spawned- TransferToTarget- GoingBack- Exporting,Vehicle,106585,16855,0,0,0,0
2358,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,222765,0,0,2,0,0
2372,Scooter (VehicleInfo),Created- Stopped- WaitingSpace,Vehicle,4417,0,0,0,0,0
2386,Suv (VehicleInfo),Created- Spawned,Vehicle,106313,0,0,0,0,0
2397,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,256904,0,0,1,0,0
2412,Sports-car (VehicleInfo),Created- Spawned,Vehicle,31524,0,0,0,0,0
2426,Sedan (VehicleInfo),Created- Spawned,Vehicle,167147,0,0,0,0,0
2457,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,74858,0,0,1,0,0
2462,Station-wagon (VehicleInfo),Created- Spawned,Vehicle,20885,0,0,1,0,0
2486,Hatchback (VehicleInfo),Created- Spawned,Vehicle,132907,0,0,0,0,0
2491,Sedan (VehicleInfo),Created- Spawned,Vehicle,219999,0,0,1,0,0
2540,Camper Van 02 (VehicleInfo),Created- Spawned,Vehicle,257935,0,0,1,0,0
