id, flags, type, happiness, health, youngs, teens, adults, seniors, p_electric, p_heating, p_water, p_worker, p_health, p_service, p_tax, x,y,z
580,Created- Completed- Active,cargoyard (BuildingInfo),95,77,0,0,0,0,0,0,0,0,0,0,0,-441.9033,220.4997,316.5344
1144,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),0,0,0,0,0,0,0,0,110,0,0,0,0,-108.7979,221.5313,471.5602
1499,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse (BuildingInfo),64,83,1,4,9,0,0,0,0,0,0,0,0,475.2346,261.5621,419.9265
1992,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),71,76,2,4,10,1,0,0,0,0,0,0,0,479.0465,256.5204,719.9288
2146,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),68,85,4,7,13,0,0,0,0,0,0,0,0,475.202,261.7813,471.9264
2264,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),76,76,0,1,15,0,0,0,0,0,0,0,0,-60.76783,221.5313,423.5903
2852,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse_Corner (BuildingInfo),60,85,1,5,2,0,0,0,0,0,0,0,0,723.2571,283.2739,384.0819
2861,Created- HighDensity- Completed- Active,H1_3x3_CommercialBlockhouse (BuildingInfo),13,80,0,0,1,0,0,0,0,143,0,0,0,438.9963,242.1543,799.9037
3047,Created- Completed- Active,H1 4x4 Sweatshop02 (BuildingInfo),94,77,0,0,0,0,0,0,0,0,0,0,0,-525.2907,212.2921,358.3739
3059,Created- Completed- Active,L1 3x4 Detached08 (BuildingInfo),89,84,1,2,4,0,0,0,0,0,0,0,0,87.08163,221.5313,663.6831
3116,Created- Completed- Active- ZonesUpdated,Advanced Wind Turbine (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-618.4167,185.7344,274.8983
3149,Created- HighDensity- Completed- Active,H1_3x2_Blockhouse01 (BuildingInfo),72,80,1,8,11,0,0,0,0,0,0,0,0,-108.7804,221.5469,443.5602
3475,Created- Completed- Active,H1 3x3 Sweatshop04 (BuildingInfo),95,78,0,0,0,0,0,0,0,0,0,0,0,763.0189,301.7645,764.1069
3977,Created- HighDensity- Completed- Active,H1_4x4_CommercialBlockhouse (BuildingInfo),11,79,0,0,1,0,0,0,0,143,0,0,0,370.9963,230.0246,799.8611
4065,Created- Completed- Active- ZonesUpdated,Advanced Wind Turbine (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-637.1597,186.9688,319.796
4292,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),61,55,0,0,6,0,0,0,0,0,0,0,0,459.0214,246.4717,759.9163
4393,Created- HighDensity- Completed- Active,H1_2x2_Blockhouse (BuildingInfo),86,80,2,3,4,0,0,0,0,0,0,0,0,-68.91329,221.5,655.5853
4737,Created- HighDensity- Completed- Active,H1_4x4_CommercialBlockhouse (BuildingInfo),8,66,0,0,1,0,0,0,0,143,0,0,0,338.9963,227.0362,799.8411
4820,Created- HighDensity- Completed- Active,H1_4x3_Blockhouse (BuildingInfo),86,81,0,5,20,0,0,0,0,0,0,0,0,-60.86815,221.5313,583.5903
5482,Created- Completed- Active,L1 4x3 Detached12 (BuildingInfo),79,76,1,2,4,0,0,0,0,0,0,0,0,59.08163,221.5313,663.6655
5542,Created- HighDensity- Completed- Abandoned,H1_4x4_Blockhouse (BuildingInfo),0,0,0,0,0,0,0,0,0,0,0,0,0,-274.3803,221.5945,329.1853
5633,Created- HighDensity- Completed- Active,H1_1x1_Blockhouse (BuildingInfo),83,85,0,3,2,0,0,0,0,0,0,0,0,-72.83053,221.5313,523.5828
5696,Created- Completed- Active,L1 3x2 Shop03b (BuildingInfo),91,53,0,0,2,0,0,0,0,0,0,0,0,234.5124,221.8201,852.1313
5742,Created- Completed- Active,L1 1x2 Shop04 (BuildingInfo),76,81,0,0,1,0,0,0,0,0,0,0,0,245.5934,222.488,836.3782
5757,Created- Completed- Active,L1 4x3 Shop06a (BuildingInfo),81,81,0,0,12,0,0,0,0,0,0,0,0,138.9662,221.5469,847.7157
5824,Created- HighDensity- Completed- Active,H1_4x4_Blockhouse (BuildingInfo),62,75,0,4,18,0,0,0,0,0,0,0,0,-138.7664,221.5313,339.4265
6232,Created- Completed- Active,4x4_Factory_EU02 (BuildingInfo),65,68,0,0,0,0,0,0,0,0,0,0,0,763.0339,303.2435,740.1069
